报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),338056,203464,93167,306380,225802,146241,67965,299150,296752,292429,285109,
营业收入(万元),338056,203464,93167,306380,225802,146241,67965,299150,296752,292429,285109,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),281244,175175,80921,263232,192482,122783,57275,251939,226947,241634,238472,
营业成本(万元),236052,146180,66828,223276,165880,104414,47543,212800,184236,204290,190138,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),14206,10439,4033,11325,8086,4982,2820,9613,10320,10252,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),2027,1260,515,2864,1951,1464,702,3530,3470,3360,2660,
销售费用(万元),16977,9599,4242,12833,8620,4769,2506,13751,10756,10403,10885,
管理费用(万元),8134,5232,2661,11779,8607,5358,2524,10291,10770,9050,22455,
财务费用(万元),3849,2465,2073,161,-662,979,437,2849,442,2476,9292,
资产减值损失(万元),,,56,259,,111,40,-896,6953,1803,3042,
公允价值变动收益(万元),-797,-315,-515,1326,1027,1073,1017,-707,-75,,,
投资收益(万元),834,694,651,-1619,-1652,-1434,-911,-31,-198,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),60246,30238,12921,45852,33438,24201,11364,49163,69015,50795,46637,
营业外收入(万元),1253,808,699,776,595,563,7,478,4373,3354,2550,
营业外支出(万元),18,5,4,13,8,4,1,56,410,839,614,
非流动资产处置损失(万元),,,,,,,,,,,74,
利润总额(万元),61480,31041,13616,46615,34025,24761,11370,49585,72979,53310,48573,
所得税费用(万元),10728,4899,2695,5883,5037,3472,1521,6933,12651,10262,9374,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),50752,26142,10921,40731,28988,21289,9849,42653,60328,43048,39199,
归属于母公司所有者的净利润(万元),50752,26142,10921,40731,28988,21289,9849,42653,60328,43048,39199,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,
基本每股收益,0.26,0.14,0.06,0.23,0.16,0.12,0.05,0.24,0.34,0.31,0.29,
稀释每股收益,,,0.06,,,,0.05,,,,,
