报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),124504,81427,36795,174328,129653,80820,31669,152362,28056,120711,144256,133106,
营业收入(万元),124504,81427,36795,174328,129653,80820,31669,152362,28056,120711,144256,133106,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),111330,73901,33834,158444,115400,72829,28802,138172,25978,115052,125498,127989,
营业成本(万元),103851,68546,31977,146174,106571,67013,26650,127126,24046,105118,114692,118599,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),4027,3253,983,6902,5001,3283,1066,5857,,5121,5405,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),548,304,98,804,674,436,100,949,154,731,579,337,
销售费用(万元),1065,724,285,1492,1059,631,273,1289,270,1260,1315,1276,
管理费用(万元),2112,1291,598,3011,2045,1246,641,2666,1441,2371,2686,6741,
财务费用(万元),-272,-218,-143,32,50,63,37,191,73,215,719,1084,
资产减值损失(万元),,,27,29,,157,35,94,-6,236,101,-48,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),545,239,56,362,266,210,90,121,30,76,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),14499,8231,3382,17503,15375,8828,3238,15401,2385,5735,18758,5117,
营业外收入(万元),573,555,402,12,16,12,5,82,2,1442,1663,1183,
营业外支出(万元),28,9,6,11,11,11,1,3,,10,21,92,
非流动资产处置损失(万元),,,,,,,,,,,,,
利润总额(万元),15045,8778,3778,17504,15380,8828,3242,15480,2388,7167,20400,6208,
所得税费用(万元),2148,1249,526,2113,2190,1245,447,1987,319,769,2789,642,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),12896,7528,3251,15391,13190,7583,2794,13493,2069,6398,17611,5566,
归属于母公司所有者的净利润(万元),12896,7528,3251,15391,13190,7583,2794,13493,2069,6398,17611,5566,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,
基本每股收益,1.12,0.66,0.3,1.73,1.48,0.85,0.31,1.51,0.23,0.72,1.97,0.62,
稀释每股收益,1.12,0.66,0.3,1.73,1.48,0.85,0.31,1.51,0.23,0.72,1.97,0.62,
