报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),31392,34750,6683,12791,11033,10418,5821,4495,6293,10281,22184,9521,9677,8421,5450,9467,7760,4910,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),5559,4696,4246,4881,3414,2750,4918,8675,7120,3776,4673,4519,3238,3329,3272,1991,2374,3518,
应收账款(万元),28823,22736,23059,21416,19928,22725,21506,21187,20443,18095,17426,16244,13895,14149,12497,8438,6364,4906,
预付款项(万元),4443,2344,1506,1051,4313,6470,2561,806,1888,1438,1843,902,1220,677,1147,1217,375,265,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,799,,689,952,995,612,2365,547,645,676,477,417,336,367,307,378,282,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),16238,20574,20411,21831,22085,17022,14280,13062,12045,13050,12333,10908,11414,11051,12173,15781,6362,5287,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,379,13293,8329,14000,8000,12800,10000,11700,12020,,,6,,,,,,
流动资产合计(万元),87287,86277,69810,70988,75725,68380,62496,60589,60035,59304,59136,42571,39867,37964,34905,37201,23612,19169,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,600,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),6079,4122,695,204,190,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,17622,,17484,,15484,,16908,,16561,,16530,16449,16215,,,,,
累计折旧(万元),,6571,,6017,,5665,,5470,,5136,,4597,4327,3575,,,,,
固定资产净值(万元),,11051,,11467,,9819,,11437,,11425,,11933,12122,12640,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,
固定资产(万元),,11051,,11467,9608,9819,11195,11437,11361,11425,11668,11933,12122,12640,10886,10630,10323,2050,
在建工程(万元),,7969,,2494,1843,1236,70,70,66,54,54,54,54,54,1884,1747,82,4584,
工程物资(万元),,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,
无形资产(万元),5281,5309,5341,5373,5392,5422,2748,2758,2774,2790,2806,2822,2883,3069,3321,3566,1830,1112,
开发支出(万元),,,,,,,,,,,,,,,,,,,
商誉(万元),1240,1240,1240,1240,1239,1239,1239,,,,,,,,,,,,
长期待摊费用(万元),107,116,130,133,142,14,16,56,68,79,91,103,115,119,156,87,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),986,891,868,797,596,537,516,517,406,405,355,344,304,331,245,205,214,116,
其他非流动资产(万元),1853,1009,33,32,94,45,78,,72,19,2,,5,19,35,,,,
非流动资产合计(万元),35065,32307,24301,22340,19105,18313,15861,14838,14747,14773,14975,15255,15482,16233,16528,16236,12449,7863,
资产总计(万元),122352,118584,94110,93328,94831,86693,78357,75427,74781,74077,74111,57826,55349,54196,51433,53437,36061,27032,
短期借款(万元),24000,25900,4000,3300,3000,3328,2346,,,,,,,,,1000,1500,1500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,
应付票据(万元),2923,3680,,2961,,652,1542,2166,1881,3411,4028,2846,2021,1907,830,1514,1250,366,
应付账款(万元),9906,8907,,10038,,5986,4649,5284,5063,4840,5789,5708,6284,5743,6183,6948,4766,2639,
预收账款(万元),12178,8240,6461,6631,13925,14270,6395,4935,6824,5447,4635,4669,3884,5525,7292,12692,4007,5214,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),,,,463,200,0,,373,,,,350,,350,550,715,430,515,
应交税费(万元),1014,404,791,695,558,385,474,752,956,334,174,586,765,714,1226,763,927,567,
应付利息(万元),,,,,,,,,,,,,,,,,,,
应付股利(万元),,1583,,,,,,,,1283,,,,,,,6,4,
其他应交款(万元),,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,
其他应付款(万元),,2892,,2848,327,242,262,232,234,354,362,348,358,16,23,19,21,31,
预提费用(万元),,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,
流动负债合计(万元),53137,51606,26854,26935,30936,24863,15668,13741,14959,15669,14989,14506,13311,14254,16104,23651,12905,10836,
长期借款(万元),,,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,
长期应付款(万元),,34,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
专项应付款(万元),,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,
长期递延收益(万元),3140,3208,3275,3343,3580,3477,3710,3400,3465,3529,3608,3658,3722,4163,4150,4113,,,
递延所得税负债(万元),92,96,100,103,70,72,75,77,80,82,84,87,68,74,40,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,3887,2075,
非流动负债合计(万元),3267,3338,3409,3480,3684,3584,3819,3511,3578,3645,3727,3779,3824,4271,4224,4147,3921,2109,
负债合计(万元),56404,54943,30263,30415,34620,28447,19487,17253,18537,19314,18716,18284,17135,18525,20328,27798,16826,12945,
实收资本(或股本)(万元),10555,10555,10555,10555,10262,10262,10262,10262,10262,6414,6414,4804,4804,4804,4804,4804,4804,4804,
资本公积(万元),17487,17199,16912,16624,14104,14188,14188,14188,14188,14188,14149,163,163,163,163,163,163,163,
减:库存股(万元),2555,2555,2599,2599,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,
盈余公积(万元),3428,3428,3428,3428,2905,2905,2905,2905,2402,2402,2402,2402,2402,2402,2402,2343,1669,1141,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,
未分配利润(万元),36012,34044,34907,34370,32529,30418,31035,30727,29293,31403,32119,31857,30535,28031,23482,18089,12403,7887,
