报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),12964,16592,12595,15802,12904,17552,25609,24579,10790,13985,11855,10731,17729,4807,4441,3822,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),1793,641,5861,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),1662,779,732,1144,753,322,489,377,310,383,255,174,173,94,269,28,
应收账款(万元),13766,13101,13119,13359,12456,10963,9846,10117,10560,8487,8694,6678,8261,7008,5807,4425,
预付款项(万元),1364,1038,1468,1010,2071,981,1116,474,1294,943,963,286,575,411,710,356,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,344,,179,442,314,249,285,341,322,291,507,103,579,116,229,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),20457,20512,20168,19210,23654,21459,17594,15413,13901,13979,13115,10431,10161,10618,10279,9229,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),6928,6617,6441,14845,12032,11581,6772,12051,2774,2172,586,43,179,4306,1637,477,
流动资产合计(万元),59648,59624,61075,65548,64311,63171,61676,63295,39970,40271,35760,28850,37182,27823,23259,18565,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,1000,1000,1000,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),532,417,417,417,417,417,417,417,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),321,328,333,337,206,224,221,231,204,207,,,,,,,
固定资产原值(万元),,58997,,57203,,33546,,27324,,26797,26314,24300,,21584,,,
累计折旧(万元),,12094,,12545,,11966,,11627,,10643,9645,7750,,7127,,,
固定资产净值(万元),,46902,,44659,,21580,,15698,,16154,16669,16550,,14457,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,46902,,44659,38419,21580,15172,15698,15752,16154,16669,16550,16747,14457,15458,16064,
在建工程(万元),,6859,,3166,3341,14261,20235,16984,16065,11219,4837,764,334,1951,52,63,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),11121,10038,6952,6992,7192,7091,7135,7178,7373,7261,7341,2130,2163,2185,2188,2236,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),2177,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,
长期待摊费用(万元),1050,397,371,361,454,184,203,212,89,108,111,73,96,104,14,5,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),2464,1773,1359,1046,850,654,518,454,375,295,249,124,165,166,286,285,
其他非流动资产(万元),7229,7777,10751,7147,10129,13198,11254,9692,6289,5864,2765,5763,502,531,581,138,
非流动资产合计(万元),81417,77562,72583,67097,63980,60580,57127,52837,48120,43080,33945,27374,21979,21366,20551,20763,
资产总计(万元),141066,137187,133658,132645,128291,123751,118804,116132,88090,83351,69704,56225,59160,49189,43810,39328,
短期借款(万元),20765,22216,22044,18675,17828,12566,13675,10224,13021,15274,9075,5648,10183,12981,13268,9738,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,14,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),3837,2796,,160,,1484,141,591,699,700,450,265,490,920,400,900,
应付账款(万元),11885,11216,,13564,,13589,11963,11902,9627,8699,8689,5037,5844,4606,5482,5279,
预收账款(万元),830,451,469,581,848,835,487,409,625,423,601,474,598,1038,906,502,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1283,950,915,1512,1013,988,786,1387,817,778,1128,841,653,911,716,437,
应交税费(万元),1013,853,584,1000,523,424,448,533,755,552,704,1636,1490,1345,901,495,
应付利息(万元),45,42,73,46,46,35,37,31,17,17,11,10,16,26,29,28,
应付股利(万元),,,,,,475,,,,,,,,,,192,
其他应交款(万元),,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,
其他应付款(万元),,91,,65,,65,45,58,67,61,281,96,235,308,222,4317,
预提费用(万元),,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),5142,4850,7139,6413,6497,3477,1143,1176,1209,1230,,,,300,860,1240,
其他流动负债(万元),,,,,,,,,,,,,,,,,
流动负债合计(万元),46604,43463,44905,42016,40787,33940,28725,26311,26838,27733,20939,14019,19509,22435,22783,23128,
长期借款(万元),10197,11281,6795,8364,7124,9360,10537,10173,8736,3608,,,,250,600,2660,
应付债券(万元),,,,,,,,,,,,,,,,,
长期应付款(万元),,,,105,263,501,735,963,770,1001,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,
长期递延收益(万元),900,927,954,1116,67,71,75,79,83,87,95,35,38,41,46,52,
递延所得税负债(万元),207,78,81,81,83,35,35,46,2,19,38,69,77,57,61,42,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),11788,12286,7831,9666,7537,9967,11381,11261,9591,4715,133,104,115,348,708,2754,
负债合计(万元),58393,55749,52736,51682,48324,43906,40106,37572,36430,32448,21072,14124,19624,22783,23490,25882,
实收资本(或股本)(万元),12667,12667,12667,12667,12667,12667,12667,12667,9500,9500,9500,9500,9500,8000,8000,6500,
资本公积(万元),36755,36755,36755,36755,36755,36755,36755,36755,13910,13910,13910,13778,13740,4740,4740,,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),1468,1468,1468,1468,849,849,849,849,738,738,738,570,381,381,160,363,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),27262,28007,27641,27583,27729,27647,27000,26539,25650,24817,22492,17504,15634,13064,7386,6559,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),79042,79619,79099,79163,78278,78198,77101,76999,50122,49461,47391,41626,39191,26123,20242,13397,
少数股东权益(万元),3632,1819,1823,1800,1689,1647,1597,1560,1538,1443,1242,475,345,283,77,49,
所有者权益(或股东权益)合计(万元),82673,81438,80922,80964,79967,79845,78698,78560,51660,50903,48633,42101,39536,26406,20320,13446,
负债和所有者权益(或股东权益)总计(万元),141066,137187,133658,132645,128291,123751,118804,116132,88090,83351,69704,56225,59160,49189,43810,39328,		
