报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),58005,47105,53448,46034,54172,55472,51719,52473,35770,40305,31903,31122,32701,44392,23507,13808,24209,6748,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,50,,,362,,,,,
应收账款(万元),9877,9427,6980,6519,5684,9537,9608,7411,6101,6747,8575,7387,5253,4877,4978,1085,596,2287,
预付款项(万元),10004,13029,10649,12077,6161,9107,356,6810,9130,7176,7939,8753,7891,12432,741,2560,5485,3512,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1364,,1786,,963,973,1246,635,846,651,586,710,1139,1197,728,591,38,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),3364,3397,3085,2461,2741,2812,2515,2288,2338,1939,1886,1769,1519,1806,1716,1170,599,354,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),8132,8183,7656,7755,7325,7380,17137,7115,24452,23023,32893,6639,6534,5188,2523,828,,,
流动资产合计(万元),90743,82506,83709,76633,78027,85271,82309,77343,78426,80037,83897,56256,54608,70196,34662,20180,31479,12939,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),1260,1242,1651,1643,1637,1640,1618,1617,1599,1474,1538,1601,1542,1603,1593,1600,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),1428,1438,1449,1459,1468,1479,1486,1501,,,,,,,,,,,
固定资产原值(万元),,269466,,267920,,246530,,244242,,181886,,181130,177399,155078,138633,106684,92480,90797,
累计折旧(万元),,75549,,68536,,61687,,55173,,49812,,45492,40704,36535,29142,22559,17478,12649,
固定资产净值(万元),,193917,,199383,,184843,,189069,,132074,,135638,136695,118543,109491,84125,75003,78149,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,
固定资产(万元),,193917,,199383,182743,184846,185983,189069,139947,132071,133781,135638,136695,118543,109491,84125,75003,78149,
在建工程(万元),,25721,,18068,26736,23081,22188,19173,65495,71867,67673,64432,55556,55014,48585,34050,15728,2244,
工程物资(万元),,650,,602,,540,641,696,680,576,571,442,447,379,213,480,121,119,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,
无形资产(万元),16273,16378,16238,16350,16422,16516,16650,16762,15739,15598,15475,15419,13813,11939,8214,6017,2025,929,
开发支出(万元),,,,,,,,,,,,,,,,,,,
商誉(万元),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,
长期待摊费用(万元),48,51,61,52,52,26,30,19,19,25,30,31,31,32,54,186,226,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),242,246,209,194,170,202,254,214,137,142,195,184,163,134,93,29,15,175,
其他非流动资产(万元),1267,724,1889,1500,2735,2564,3224,3161,2933,3021,2676,2872,4806,3597,4818,4630,,,
非流动资产合计(万元),243080,240375,239795,239260,231971,230901,232081,232222,226557,224782,221946,220627,213060,191249,173069,131117,93117,81615,
资产总计(万元),333822,322882,323505,315893,309998,316172,314390,309565,304983,304819,305843,276883,267668,261445,207732,151297,124596,94554,
短期借款(万元),,,300,7573,9073,15158,19858,12585,14925,14089,9089,41689,35100,34500,36000,32100,27800,17500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,
应付票据(万元),40,40,,91,,148,362,537,541,640,635,324,172,195,480,,,,
应付账款(万元),20160,22787,,25652,,24039,24041,29708,24715,31441,30044,32036,40996,30801,30397,19504,11353,11479,
预收账款(万元),15184,10741,13386,6844,10385,8162,6307,7018,10351,6481,5605,7345,6424,7188,5943,4213,2387,699,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),900,909,862,766,766,766,714,651,546,517,513,474,617,408,305,147,67,76,
应交税费(万元),2498,2422,2940,1703,1036,1399,1509,934,780,767,963,1452,450,515,402,729,-150,897,
应付利息(万元),149,107,73,262,269,333,199,108,176,318,407,295,286,145,116,71,90,91,
应付股利(万元),,,,,,4032,,,,998,,,,,,,30,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,
其他应付款(万元),,4184,,2974,,3029,2226,2337,2063,2147,3395,3607,2076,1955,1492,1722,1079,606,
预提费用(万元),,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),1875,1330,1330,1330,820,820,2355,2355,2397,2421,1503,2365,,,,,,,
其他流动负债(万元),,,,,,,,,,,10000,10000,10000,10501,,,,,
流动负债合计(万元),44826,42522,45503,47196,47957,57887,57571,56234,56493,59819,62154,99586,96121,86209,75137,58487,42655,31348,
长期借款(万元),49983,46560,44316,41594,40377,40377,40064,40832,37695,36688,37524,38187,36887,45299,28275,8400,6000,30250,
应付债券(万元),,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,
长期递延收益(万元),304,306,308,309,311,313,314,316,319,319,319,319,,,,,,,
递延所得税负债(万元),205,214,181,189,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,
非流动负债合计(万元),50712,47080,44805,42092,40688,40689,40378,41147,38013,37007,37842,38505,36887,45299,28275,8400,6000,30250,
负债合计(万元),95538,89602,90308,89288,88644,98576,97949,97381,94507,96825,99996,138091,133008,131508,103412,66887,48655,61598,
实收资本(或股本)(万元),33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,25200,25200,25200,25200,25200,25200,20000,
资本公积(万元),99220,99220,99220,99220,99220,99220,99220,99220,99230,99131,98922,43785,43785,43785,43784,43777,46377,8,
减:库存股(万元),,,,,,,,,,,,,,,,,,,
专项储备(万元),3274,2948,2578,2137,1962,1701,1359,974,1163,983,883,604,344,291,378,124,1167,1016,
盈余公积(万元),7472,7472,7472,7472,5812,5812,5812,5812,4648,4648,4648,4648,3797,3797,2510,1238,164,1211,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,
未分配利润(万元),70704,65756,65963,59591,55986,52347,51952,47643,45517,42820,41189,37375,33919,29030,18729,9198,731,10720,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),214270,208996,208833,202020,196581,192681,191943,187250,184158,181182,179241,111612,107046,102103,90601,79538,73640,32956,
少数股东权益(万元),24015,24284,24364,24585,24773,24915,24498,24934,26318,26811,26606,27180,27614,27834,13719,4873,2301,,
所有者权益(或股东权益)合计(万元),238285,233280,233197,226605,221354,217596,216441,212184,210476,207993,205847,138792,134660,129937,104320,84411,75940,32956,
负债和所有者权益(或股东权益)总计(万元),333822,322882,323505,315893,309998,316172,314390,309565,304983,304819,305843,276883,267668,261445,207732,151297,124596,94554,		
